Id_index,Job_Title,company,Sector,region,technologies,skills,certifications,soft_skills,languages,experience_years,Type_Contrat,level_study,Tasks,source
0,AI Researcher,um6p,Education,Not specified,"Python, MATLAB, QGIS, Neural networks, Decision trees","Python, MATLAB, QGIS, Artificial intelligence algorithms, Neural networks, Decision trees, Irrigation systems engineering, Precision agriculture, Remote sensing data sources",,"Communication, Collaboration",Not Specified,2 ans,NOT SPECIFIED,Bac +8,"Developing cutting-edge research projects that focus on the use of remote sensing and artificial intelligence (AI) to optimize fertilizer and irrigation systems for agricultural production, Determining and implementing appropriate remote sensing and AI techniques to interpret crop growth and development and assess the effects of fertilizer and irrigation on crop productivity, Investigating the application of remote sensing and AI techniques in precision agriculture, Preparing written reports and presentations to communicate research results, Teaching courses related to remote sensing, GIS, and precision agriculture, Using different communication and dissemination tools (peer-reviewed publications, large public dissemination), Pursue permanent trainings in order to improve up-to-date capacities, Supervising and advise Master and Ph.D. students to support established Ph.D. programs, Collaborating with other faculty on projects related to remote sensing and precision agriculture.",google
1,AI Researcher,um6p,Education,Not specified,"R, Python, Matlab","R, Python, Matlab",,"Collaboration, Entrepreneurship, Leadership",Not Specified,Not Specified,NOT SPECIFIED,Bac +8,"Développer des modèles, analyser des données, concevoir des projets de recherche scientifique, établir des programmes de recherche financés intra et extramuraux, développer des partenariats avec l'industrie et les entités étatiques, rencontrer et discuter avec d'autres, coder en R, Python et Matlab.",Linkedin
2,AI Researcher,um6p,Education,Rabat-Salé-Kénitra,"R, Python, Matlab","R, Python, Matlab, Geo-informatic, Geo-statistics, Numerical modeling, Data analysis, Ore mineralogy, Geographical information systems, remote sensing.",,"Leadership, Partnerships, Communication",Not Specified,Not Specified,CDI,Not Specified,"Développer la recherche, coordonner des projets scientifiques, établir des partenariats industriels et étatiques, coder en R, Python et Matlab",Option Carriere
3,Data Manager,um6p,Technology and IT Services,Not specified,"SQL, Python","SQL, Python, BI tools, Scrum methodology, Agile practices","CFA, CFA ESG","Collaboration, Client engagement, Communication skills, Proactive, Solution oriented","English, Arabic, French, Italian",4 ans,NOT SPECIFIED,Bac +3,"Managing, mentoring and leading a diverse team of Data Research Associates, Managing day-to-day data operations around ESG Exposures and Controversies, Coordinating the relationship and leading the communications with external data providers, Training on Exposures and controversies indicators and sustainability frameworks to both external contractors and internal data analysts, Monitoring the performance of data analysts and associated budget through analytics and BI solutions, Coordinating cross-functional initiatives, interacting with multiple professionals and departments ( Business Development, Research, Data Science, Data Strategy ) to proactively allocate resources and plan for the technical demands of any projects, Working collaboratively with the technical teams to facilitate the development of the most efficient collection tool - prioritizing key features to accelerate the high-level data collection objectives, Keeping documentation up to date - internal documents for training, methodology maintenance, and productivity metrics monitoring, Continuously evaluating existing tools, processes, solutions for scaling data collection and quality assurance processes, Performing ad hoc team projects as needed",linkedin
4,Data Consultant,um6p,Technology and IT Services,Not specified,Python,"Python, rapid prototyping tools",,"Communication, Analytical skills, Problem solving, Project management, Teamwork","French, English",3 ans,NOT SPECIFIED,Not Specified,"Identify innovation opportunities in collaboration with internal teams and external partners, Design Proof of Concepts (POCs) to test and validate new technological concepts, Conduct in-depth research, including targeted market studies to identify go-to-market strategies for specific products, and stay updated on emerging trends and technologies, Facilitate workshops and brainstorming sessions to generate and refine innovative ideas, Document POC results and provide strategic recommendations, Communicate effectively with stakeholders in both French and English.",linkedin
5,AI Researcher,um6p,Education,Not specified,"Python, Pytorch","Python, Pytorch, AI, Data Science, Machine learning, Deep learning, NLP, BDI systems, Large Language Models (LLMs), French, English.",,Not Specified,Not Specified,Not Specified,CDD,Bac +8,"Design NLP algorithms, Contribute to supervision of doctoral students and interns, Participate in training courses, Work on collaborative projects with companies and external organizations, Interact with researchers and engineers, Contribute to research activities by publishing scientific papers, Participate in administrative and management tasks.",Linkedin
6,AI Researcher,um6p,Education,Not specified,"Python, Pytorch","Python, Pytorch, AI, Data Science, Machine learning, Deep learning, NLP, BDI systems, Large Language Models",,"Communication, Time management, Organization, Self motivation, Flexibility",English,Not Specified,CDD,Bac +8,"Design algorithms, develop NLP algorithms, contribute to supervision of doctoral students and interns, participate in training courses, work on collaborative projects, interact with researchers and engineers, publish scientific papers, contribute to influence of research activities, participate in administrative and management tasks.",google
7,Data Scientist,um6p,Education,Not specified,"Python, SQL, Tensorflow, PyTorch, Airflow, REST API","Python, SQL, Deep Learning, Machine Learning, Data Engineering, Tensorflow, PyTorch, Statistical Analysis, Agile Software Development, Project Management, Data Visualization, Data Management, Quality Control, Research, Problem Solving, Communication Skills, MLOps, Airflow, Crop Improvement, Precision Agriculture, Computer Vision, REST API Design, DevOps, Containerization, Code Writing.",,"Interpersonal skills, Writing skills, Communication skills, Teamwork, Organization, Autonomy, Analytical skills, Synthesis skills","English, French",5 ans,NOT SPECIFIED,Not Specified,"Collect and analyze data, Work with a multidisciplinary team, Provide application support, Develop predictive models, Perform research tasks, Contribute to data management, Develop data visualization tools, Conduct research on deep learning techniques, Evaluate packages and frameworks, Drive clarity and solve problems.",google
8,Data Scientist,um6p,Education,Not specified,"Python, SQL, Machine Learning, Deep Learning, Tensorflow, PyTorch, Agile software development","Python, SQL, Machine Learning, Deep Learning, Data engineering, Tensorflow, PyTorch, Agile software development",,"Interpersonal skills, Rigor, Autonomy, Organization, Writing skills, Analytical skills, Synthesis skills, Teamwork, Communication skills","English, French",Not Specified,NOT SPECIFIED,Not Specified,"Collect and analyze data from various sources, including weather data, lysimetric robots’ data, and phenomobile.v2+ data, to develop predictive models and decision support tools, Perform cutting edge research tasks in the fields of deep learning-based crop yield prediction, plant growth prediction, deep learning-based genomic prediction, Contribute to the development and implement of a data management and quality control infrastructure/platform to ensure the accuracy and completeness of the collected data, Develop and implement data management and quality control procedures to ensure the accuracy and completeness of the collected data, Perform exploratory analyses from genomic/phenotype data for trait discovery and germplasm genetic diversity assessment in response to various plant stress conditions, Develop and implement data visualization tools to help users better understand and interpret the data, Conduct research on the latest deep learning techniques and identify potential areas of research application in the context of the PHENO-MA project, Continuously evaluate the latest packages and frameworks in the ML ecosystem, Drive clarity and solve ambiguous, challenging business problems using data-driven & AI-driven approaches. Propose and own data analysis (including collecting, modeling, coding, analytics, and experimentation) to drive business insight and facilitate decisions.",linkedin
9,Data Scientist,um6p,Education,Marrakech-Safi,"Python, SQL, Machine Learning, Deep Learning, Tensorflow, PyTorch, REST API","Python, SQL, Machine Learning, Deep Learning, Data engineering, Tensorflow, PyTorch, Agile software development, DataOps, MLOps, REST API design, containerization, DevOps methodology",,"Communication skills, Problem solving",English,0 ans,CDD,Not Specified,"Collect and analyze data from various sources, including weather data, lysimetric robots' data, and phenomobile.v2+ data, to develop predictive models and decision support tools, Perform cutting edge research tasks in the fields of deep learning-based crop yield prediction, plant growth prediction, deep learning-based genomic prediction, Contribute to the development and implement of a data management and quality control infrastructure/platform to ensure the accuracy and completeness of the collected data, Develop and implement data management and quality control procedures to ensure the accuracy and completeness of the collected data, Perform exploratory analyses from genomic/phenotype data for trait discovery and germplasm genetic diversity assessment in response to various plant stress conditions, Develop and implement data visualization tools to help users better understand and interpret the data, Conduct research on the latest deep learning techniques and identify potential areas of research application in the context of the PHENO-MA project, Continuously evaluate the latest packages and frameworks in the ML ecosystem, Drive clarity and solve ambiguous, challenging business problems using data-driven & AI-driven approaches. Propose and own data analysis (including collecting, modeling, coding, analytics, and experimentation) to drive business insight and facilitate decisions.",Option Carriere
10,AI Researcher,um6p,Education,Not specified,Not Specified,Not Specified,,"Communication, Problem solving",English,Not Specified,NOT SPECIFIED,Bac +8,"Publier dans des journaux à fort impact dans le domaine, Superviser des étudiants diplômés et de premier cycle, Contribuer à l'enseignement ou à d'autres activités de formation",google
11,AI Researcher,um6p,Education,Not specified,Not Specified,Not Specified,,"Communication, Problem solving",English,Not Specified,NOT SPECIFIED,Bac +8,"Publier dans des revues à fort impact dans le domaine, Superviser des étudiants diplômés et de premier cycle, Contribuer à l'enseignement ou à d'autres activités de formation.",linkedin
12,Computer Vision Engineer,um6p,Education,Not specified,Not Specified,"Plant Phenotyping, Image Analysis, Machine Learning, Deep Learning, Data Analysis, Image Processing, Research Proposals, Image Analysis Algorithms, Supervision, Teaching Materials, Collaboration, Phenotyping Tools, Stress Responses, Publication Record, English Communication Skills, Teamwork.",,"Teamwork, Problem solving, Collaborative relationships",Not Specified,10 ans,NOT SPECIFIED,Not Specified,"Développer et mettre en œuvre de nouvelles méthodes d'analyse d'image pour quantifier les caractéristiques des plantes, Collaborer sur des projets pluridisciplinaires impliquant des plateformes de phénotypage à haut débit, Appliquer des techniques d'apprentissage automatique et d'apprentissage profond pour améliorer le traitement des images et la prédiction des caractéristiques, Analyser de grands ensembles de données générés par le Phenomobile.v2+ pour identifier les traits clés affectant les performances des cultures dans des conditions de stress, Mettre en œuvre une approche multimodale pour l'analyse de données à grande échelle en utilisant des solutions CPU et GPU au Centre de données de l'UM6P, Innover et améliorer les algorithmes d'analyse d'image pour la quantification des traits de plantes, Collaborer avec des équipes de recherche internationales et contribuer à des publications et présentations communes, Développer des propositions de recherche pour obtenir des fonds de donateurs potentiels et préparer des soumissions pour un financement externe et international pour soutenir et maintenir des programmes de recherche intégrés, Superviser des étudiants diplômés et de premier cycle, élaborer du matériel pédagogique et attirer des étudiants de haut niveau, Contribuer à l'équipe de recherche multidisciplinaire dans le développement de l'équipe d'amélioration des cultures, Contribution à l'établissement et / ou au maintien d'une collaboration avec d'autres entités de recherche du collège SAES, de l'UM6P et de partenaires externes.",Linkedin
13,Machine Learning Engineer,um6p,Education,Not specified,"Python, Pytorch, NLP","Python, Pytorch, IA, Science des Données, Apprentissage machine, NLP, systèmes BDI, Modèles de Langage Larges, outils informatiques, collaboration, relationnelle, rigueur, autonomie, organisation, rédactionnelle, analyse, synthèse, intérêt général, équipe, communication, français, anglais.",,"Teamwork, Problem solving, Collaborative relationships",Not Specified,Not Specified,CDD,Bac +5,"Concevoir, développer et appliquer des algorithmes de NLP dans différents projets, Contribuer à l’encadrement de doctorant.e.s et stagiaires du centre, S’impliquer dans les formations portées par le centre, Travailler dans des projets collaboratifs, avec des entreprises et organismes extérieurs, Interagir avec les chercheurs et les ingénieurs du centre et de son écosystème, Contribuer au rayonnement de l'activité de recherche de Ai movement par la publication de ses travaux scientifiques dans les thématiques du centre, Participer aux tâches d’administration et de gestion liées à la recherche et l’enseignement",google
